time,accel x,accel y,accel z,gyro y,gyro x,gyro z
1515654141091,0,0,0,0,0,0
1515654141193,-2.297348,8.91095,4.1934967,-0.10681152,-0.5207062,0.34455872
1515654141295,-1.7131653,8.472809,4.8974,-0.26341248,-0.3449402,0.2295227
1515654141399,-1.5527496,8.324371,4.8207855,0.04977417,0.13761902,0.23164368
1515654141502,-2.2566528,9.176712,4.930908,0.06149292,-0.27676392,0.20288086
1515654141605,-0.93266296,8.585342,4.270111,0.26815796,-0.43655396,0.07078552
1515654141707,-0.25030518,8.446472,5.3115845,-0.18351746,-0.13508606,0.0803833
1515654141809,0.23571777,8.00116,6.3315277,-0.43385315,-0.004058838,0.23271179
1515654141912,-0.15214539,6.564636,6.8055725,-0.6319885,0.39222717,0.16239929
1515654142015,-0.106658936,6.112137,6.9252777,-0.41680908,1.0186005,0.2518921
1515654142117,0.2596588,6.777725,8.01944,0.45350647,0.32510376,0.19862366
1515654142220,-1.9382172,25.110123,17.84285,-0.716156,-1.7191315,0.66734314
1515654142322,-6.0275116,16.847733,5.0745697,1.0681763,-1.1651917,-0.5619812
1515654142426,-1.9645538,8.128052,2.237442,1.5315552,-0.31085205,-0.58114624
1515654142529,-0.719574,7.584564,1.7202911,1.2801514,0.6393585,-0.50445557
1515654142632,-0.8608246,8.137634,1.3970795,1.0862732,-0.32363892,-0.3947296
1515654142734,-1.1002502,10.795197,0.1927948,0.7571106,-0.2671814,-0.768631
1515654142837,-1.5958557,14.300308,-1.885376,0.043380737,0.36878967,0.24761963
1515654142939,-7.3706665,12.499863,2.9916077,-2.5473328,-2.1377869,1.4918518
1515654143043,0.79356384,9.073761,2.5151672,-1.8602448,-0.19473267,1.2681427
1515654143145,-4.2198944,3.5144196,7.641144,-1.3329315,0.66600037,0.86761475
1515654143248,-0.3173523,5.934967,5.823944,0.54086304,0.5978241,-0.053848267
1515654143350,-0.0037078857,6.306061,4.4688263,0.8860016,1.5629425,-0.07408142
1515654143452,-8.620438,12.442398,7.293991,-0.31987,-1.0576019,-0.36064148
1515654143554,-1.3061523,-1.0896301,2.4217834,0.3118286,-0.15852356,-0.6578522
1515654143657,-0.877594,5.413025,2.8671112,1.8649902,-0.14787292,-0.17102051
1515654143759,-2.814499,9.36824,-0.07536316,1.4207764,-1.1481476,-0.6205597
1515654143862,-0.049194336,9.396973,1.3898926,0.9307556,-1.0671844,-0.4447937
1515654143964,-0.75309753,9.930878,0.980484,0.6878662,-0.93403625,-0.8698425
1515654144067,-2.9365997,12.31311,0.33883667,-0.2783203,-1.4048767,0.2881012
1515654144171,-3.2215118,13.787949,2.5534668,-1.2509155,-2.331665,0.66308594
1515654144273,-0.7794342,9.277267,1.8759155,-1.8091125,-0.3449402,0.1592102
1515654144375,-1.9741364,5.599777,5.431305,-0.93984985,-0.6208496,-0.22747803
1515654144477,0.74328613,5.9086304,5.981964,0.46736145,0.6063385,-0.33613586
1515654144580,-5.903015,11.997086,7.653122,-0.7715454,0.14401245,0.051620483
1515654144683,-3.2071533,22.09822,4.550232,-1.1710205,-0.5792999,-0.2647705
1515654144786,-6.35791,12.9140625,2.1057587,1.5507355,-1.9609528,-1.0807648
1515654144893,-2.5032501,6.75618,0.70036316,1.5006714,-1.0309753,-0.7047272
1515654144997,1.5405579,8.259735,1.5981903,0.9520569,-0.33747864,-0.7409363
1515654145100,-0.23355103,8.779266,2.1727905,0.8742981,-0.52923584,-0.6439972
1515654145203,0.41767883,11.216568,1.7298737,0.43966675,-0.75720215,-1.1958008
1515654145305,-4.1336975,11.716965,-0.999527,-1.3851318,-0.5686493,1.1062317
1515654145408,2.0050354,11.477539,3.7864838,-0.8546295,-0.8573303,1.1818695
1515654145512,-1.3468475,6.8806763,0.76020813,-1.8186951,1.5544281,0.52459717
1515654145614,-0.90870667,3.6054077,5.328354,-0.2186737,0.39967346,0.11659241
1515654145718,2.6299133,10.361847,3.4848175,0.22554016,1.3253937,0.18904114
1515654145822,-2.7977448,4.757019,4.610092,-0.23039246,-1.2035522,0.64390564
1515654145926,-3.214325,-3.48143,1.0690613,0.2756195,-0.08181763,-0.4128418
1515654146030,1.8350372,6.334793,4.1958923,1.7978821,-1.2024841,-0.57902527
1515654146132,-0.7291565,8.487183,1.1408997,1.670044,-0.47917175,-0.625885
1515654146235,-0.42030334,8.271698,1.7298737,1.0553894,-0.6741028,-0.73135376
1515654146338,-0.6788635,10.09848,1.1049805,0.6825409,-0.7763672,-0.90711975
1515654146441,-1.7825928,16.550858,-1.1503601,-0.51374817,0.280365,1.1925201
1515654146548,-0.956604,16.155807,4.6986694,-1.1784668,-1.7745209,1.0060883
1515654146651,-1.2606659,5.602173,0.53515625,-1.4351959,0.76187134,0.8409729
1515654146754,-2.079483,4.112976,3.1065369,-0.38378906,0.838562,0.6343231
1515654146860,0.59724426,11.384171,3.1256866,0.35231018,1.1357727,-0.06661987
1515654146962,1.1909943,5.9325714,6.9827423,-0.31347656,0.082229614,0.82073975
1515654147064,-3.2358856,-3.6250916,3.2741241,-0.22079468,0.0619812,-0.2136383
1515654147166,1.1718445,8.649994,4.8016205,1.8223724,-1.311142,-0.18699646
1515654147268,-1.5766907,8.755325,0.8320465,1.6093292,-0.68156433,-0.75479126
1515654147372,-1.2989655,8.731384,0.48727417,0.9712372,-0.9276428,-0.67489624
1515654147475,1.5142212,10.160721,1.0618896,0.5110321,-0.8978119,-0.99554443
1515654147583,-4.3587646,14.329025,-0.5111084,-0.3156128,0.151474,0.74191284
1515654147686,-1.9621582,15.43515,2.637268,-1.2061768,-1.6104736,0.95176697
1515654147789,-1.0140533,7.7880707,1.7394409,-1.7377319,0.30273438,0.87612915
1515654147894,-1.5383911,5.460907,3.6428375,-0.7342529,0.9056854,0.56933594
1515654147996,0.48710632,8.973206,5.2756805,0.4641571,1.0313721,0.027114868
1515654148097,0.31233215,11.254883,8.124786,-0.9526367,1.5938416,1.0465698
1515654148200,-4.63649,28.031052,-1.3969574,-0.08125305,-0.29167175,-0.32974243
1515654148303,-4.526352,15.301071,3.9684448,1.0436707,-1.2195282,-1.4599915
1515654148406,-1.5958557,6.655609,-0.8367157,1.4399414,-0.41737366,-0.7739563
1515654148508,-0.0061035156,8.389023,1.7154999,1.2620544,-0.33747864,-0.6493225
1515654148612,-0.4777527,8.594925,1.9836578,1.097992,-0.32363892,-0.752655
1515654148715,-0.42747498,9.408951,1.2821503,0.4045105,-0.9691925,-0.66529846
1515654148818,-6.032303,11.190231,-2.3809814,-1.5555725,-0.41844177,1.1136932
1515654148919,1.4328156,11.197418,2.8479614,-1.4639587,-0.769989,1.0966492
1515654149020,-2.6612701,5.381897,1.4042511,-1.6109772,0.71925354,0.5618744
1515654149122,-1.2870026,4.8671417,3.8247986,-0.26766968,1.1166077,0.7248688
1515654149224,1.3418427,9.159958,5.2038574,0.6271515,0.8662567,0.19648743
1515654149327,0.22613525,6.1145325,9.616364,0.1499176,0.55307007,0.88145447
1515654149429,-0.9685669,-2.7272644,9.496658,-1.2945862,0.8119354,-1.4280396
1515654149533,2.6897736,11.269241,3.4967804,1.8575287,-0.5601196,-0.4437256
1515654149635,-1.411499,8.896591,1.7202911,1.384552,0.280365,-0.73561096
1515654149737,-1.4258575,8.039459,1.2797546,1.1597748,-0.42697144,-0.53215027
1515654149840,0.28120422,9.313187,1.2677917,0.42581177,-0.48129272,-0.7739563
1515654149942,-2.26622,16.20369,0.35079956,-0.6469116,0.4571991,0.5831909
1515654150045,-0.14256287,15.844559,0.3699646,-1.5502472,-0.90527344,1.334198
1515654150148,-0.9877167,8.630829,1.4138336,-1.8069763,0.838562,1.0188751
1515654150252,-0.7483063,5.547104,4.3036346,-0.74490356,0.59887695,0.94644165
1515654150355,1.4376068,6.6723785,4.8878174,0.9009247,1.4862518,-0.21150208
1515654150457,0.7983551,11.013062,8.7903595,-0.41255188,0.5807648,0.7333832
1515654150559,5.7974396,10.287613,-0.4033661,1.1224976,-0.4003296,1.3576355
1515654150663,-3.6428986,14.2308655,2.383484,1.733963,-0.61125183,-0.15078735
1515654150767,-0.33650208,9.277267,3.719452,1.4207764,0.33042908,-0.815506
1515654150870,-1.1840515,8.321976,1.2821503,1.0937347,-0.08609009,-0.5704956
1515654150972,-0.053985596,9.64119,1.3300323,0.71343994,-0.60913086,-0.88793945
1515654151074,1.7392731,9.758499,2.4505157,-0.08125305,-0.3545227,-0.40538025
1515654151177,-7.6124725,10.076935,0.8248596,-2.2884827,0.01512146,0.99331665
1515654151280,1.9020844,11.338669,3.0155487,-1.2541046,0.79808044,1.5419159
1515654151384,-0.061172485,6.5885773,2.838379,-0.6916504,2.2479095,1.5035706
1515654151486,0.8558197,7.800049,1.6652222,0.46522522,2.6122284,1.0742645
1515654151588,-0.7411194,9.14798,7.878174,-0.31028748,2.7879944,0.13363647
1515654151691,1.5429535,9.339523,7.313141,0.38853455,0.9216614,1.5440521
1515654151792,0.20698547,0.60546875,3.3818665,-1.4586334,1.2913055,-1.6847687
1515654151895,0.056152344,9.047424,0.41305542,1.7243652,0.10673523,-0.08366394
1515654151997,-0.48014832,8.757721,1.9429474,1.4814911,1.5054169,-0.3904724
1515654152100,-1.4617767,8.987564,0.96850586,1.1139832,0.22923279,-0.22854614
1515654152205,-0.37719727,10.081726,1.332428,0.40130615,-0.46531677,-0.73561096
1515654152308,1.5740662,10.443237,-1.1503601,-0.44024658,0.42843628,0.10487366
1515654152412,-6.1687775,10.572525,2.151245,-2.4951477,-0.51005554,1.3938446
1515654152515,0.3650055,11.2453,2.9006348,-1.6791534,2.0295258,1.5525818
1515654152617,-0.80337524,7.282898,2.1009674,-0.5414429,2.125412,1.5653534
1515654152721,-0.55197144,7.9891815,2.9796448,0.57069397,2.0998383,0.72698975
1515654152824,0.65948486,9.973984,8.301956,-0.751297,2.0231476,1.2670898
1515654152926,-3.5016327,23.120544,4.0019684,-2.549469,2.7709503,-0.17741394
1515654153029,-0.2598877,12.686615,4.7824707,1.1608429,1.2572174,0.91767883
1515654153133,-1.2654572,7.828781,2.5558624,1.5123901,2.859375,0.24443054
1515654153237,-1.3851624,8.839127,1.3420105,1.2950745,1.6641388,-0.0101623535
1515654153338,-0.3293152,10.009888,0.32685852,0.77308655,0.67770386,-0.44799805
1515654153439,1.2029724,10.510284,0.98527527,0.056167603,0.8619995,-0.49273682
1515654153540,-2.9844818,10.790405,0.38671875,-2.0860748,1.4798584,0.7365875
1515654153640,1.7488556,12.832657,3.1687775,-1.8080444,0.6809082,1.3192749
1515654153742,-2.237503,9.619644,2.9509125,-0.9217377,0.7799835,1.0060883
1515654153844,0.56851196,8.1232605,2.7665558,-0.5904541,2.444992,1.7411194
1515654153946,-0.84407043,4.757019,5.175125,-0.019470215,0.66386414,0.6854553
1515654154049,5.419159,11.003494,4.9285126,0.51956177,0.5264435,1.5749512
1515654154151,-14.785507,20.448608,1.1480713,0.17015076,0.58503723,-0.03253174
1515654154253,-1.5168457,21.399109,3.6141052,1.3153076,-1.1151276,-0.8719635
1515654154355,-2.0435638,7.879059,1.2749634,1.7115936,-0.42697144,-0.5992584
1515654154458,0.7815857,8.860672,1.593399,1.3781586,-0.27783203,-0.5364075
1515654154560,-2.383545,9.052216,-0.08972168,1.095871,-0.43122864,-0.39579773
1515654154662,0.14233398,10.742523,1.0331573,0.2756195,-1.3537445,-0.70259094
1515654154765,-3.5519104,13.605988,-3.6427155,-0.93026733,-0.69221497,1.4258118
1515654154867,2.493454,14.182983,3.2980652,-1.499115,-1.5582733,1.224472
1515654154970,-1.4833221,6.6723785,-0.05621338,-1.532135,1.0601349,0.4830475
1515654155072,-3.348404,3.772995,3.5207367,-0.7566223,0.615921,0.4649353
1515654155176,0.86538696,9.193466,5.340317,0.59732056,0.7608032,-0.04852295
1515654155279,1.2676086,6.650833,6.760086,0.0061035156,0.8279114,0.9613495
1515654155381,7.169327,8.384232,2.7186737,0.6143646,-1.1257782,1.1999664
1515654155484,0.5038605,18.511703,3.9325256,1.8266449,-1.4442902,-0.37342834
1515654155587,-1.2343292,9.832718,1.1289215,1.1800232,-1.0916901,-1.3630524
1515654155689,0.6331482,9.289246,1.0690613,0.99679565,-0.55799866,-0.4202881
1515654155794,-1.1960144,10.524643,0.6237488,0.8178253,-0.56544495,-0.7100525
1515654155896,0.058547974,10.47197,-0.07775879,0.23725891,-1.1822357,-0.2913971
1515654156000,-5.3020782,11.695404,-1.7632751,-1.9838104,-1.5231323,1.1456451
1515654156103,-0.63098145,11.321915,1.2103271,-1.7760925,-1.0235138,1.2010345
1515654156206,-2.7690125,7.3283844,3.4896088,-2.1127167,0.3314972,0.5565491
1515654156308,1.9116516,3.986084,4.72023,-0.3209381,0.5978241,-0.15718079
1515654156412,1.1790314,11.415283,4.72023,-0.25915527,1.012207,0.15388489
1515654156515,-6.2477875,15.068848,4.411377,-0.2975006,-2.032318,0.07078552
1515654156617,-4.5359344,12.985886,0.71951294,0.7816162,0.1749115,-1.8765106
1515654156720,-2.4745178,7.0315094,0.7745819,1.4015961,-0.26397705,-0.62483215
1515654156822,1.7799683,8.245361,2.2637787,1.0862732,-0.024291992,-0.48634338
1515654156926,-0.67648315,8.700272,1.2582092,0.74220276,-0.3545227,-0.3659668
1515654157031,0.020233154,10.366623,-0.07775879,0.56430054,-0.98942566,-0.87516785
1515654157133,-0.030044556,15.866104,-1.6052551,0.07321167,0.5051422,0.56614685
1515654157235,-1.6437378,13.055313,3.5829773,-2.1521301,-1.552948,1.3214111
1515654157338,1.3968964,8.204666,2.5175629,-1.6056519,0.7533417,0.96455383
1515654157441,-0.8488617,6.6675873,2.6540222,-0.58299255,1.8708038,1.2372589
1515654157544,0.9324341,5.9325714,3.8630981,1.3142395,1.2561493,-0.05491638
1515654157649,0.5541382,10.005112,11.567642,-0.90257263,1.3786621,1.7379303
1515654157752,10.734283,11.992294,-14.579437,2.0567322,0.49342346,2.1842804
1515654157855,0.7911682,13.383316,10.662628,1.6434174,-0.25865173,0.22419739
1515654157957,-0.039611816,9.021088,1.8040924,1.6167755,-0.16278076,-0.8346863
1515654158060,-1.0140533,8.266907,1.1241302,1.4846802,0.20579529,-0.30311584
1515654158164,0.08248901,11.2812195,0.76260376,0.74964905,-1.1151276,-0.7462616
1515654158268,-0.30537415,10.61084,1.38031,0.031661987,-1.041626,-0.42988586
1515654158371,-1.5000763,9.363464,-0.7960205,-2.9755707,-0.8200531,1.1957092
1515654158473,2.5437317,10.440842,4.236603,-1.483139,-0.60913086,1.4982452
1515654158577,0.15431213,6.385071,2.1632233,-1.1923218,2.6772156,1.4385986
1515654158682,-0.15933228,3.512024,4.4257355,0.9904022,0.6904907,0.27319336
1515654158786,2.5556946,11.070526,5.771286,-0.6170807,1.58638,0.24868774
1515654158888,-2.7642212,25.847534,4.533478,-1.4767456,-0.9308319,0.5363159
1515654158991,-5.8264008,16.239609,0.79133606,0.89346313,-1.4698639,-2.2557526
1515654159093,-2.139328,7.816803,0.56388855,1.7137146,-0.2394867,-0.60139465
1515654159196,2.7280731,7.986786,1.5503082,1.3408813,-0.13189697,-0.7430725
1515654159301,-1.2079926,8.310013,1.2294769,1.2822876,-0.1926117,-0.6770172
1515654159403,1.7727966,11.010666,0.8320465,0.41836548,-1.0213928,-0.78248596
1515654159505,-3.858368,15.81105,-2.0601501,-1.6184235,-0.93403625,1.3160858
1515654159608,2.5604858,13.031372,3.33638,-1.2541046,-1.2248535,0.8878479
1515654159710,0.077697754,6.3156433,0.9230194,-1.2019043,1.9496307,1.0817261
1515654159812,-1.2199554,5.120926,4.902176,-0.3475647,0.40394592,0.56933594
1515654159914,5.5963287,8.056229,7.641144,0.39704895,0.5775757,0.41487122
1515654160017,-1.574295,9.377823,7.499893,0.045516968,1.4191284,0.8186035
1515654160122,5.3329773,-4.405594,1.083435,-0.20695496,0.73950195,-0.10923767
1515654160224,0.058547974,16.6969,2.1392822,1.0809479,-0.58143616,-0.14865112
1515654160327,-0.78900146,8.980392,2.7569733,1.5198364,-0.26185608,-0.9657135
1515654160429,1.102417,8.717026,1.0451202,1.1320801,-0.27037048,-0.67915344
1515654160533,-0.90153503,9.80159,1.6915588,1.0969391,0.030029297,-0.8112488
1515654160635,0.6618805,10.383392,-0.19267273,-0.015197754,-0.5984802,-0.22535706
1515654160736,-3.779358,11.415283,-1.1240234,-2.9073944,-0.83496094,1.1531067
1515654160840,3.2595978,10.383392,2.7330322,-1.5310822,0.39009094,1.3938446
1515654160942,-2.2877808,6.2773285,1.2007446,-1.0027008,1.9464417,0.9943695
1515654161045,1.3418427,4.907852,3.3794708,0.6058502,0.7863617,0.14216614
1515654161148,0.5206299,8.901382,8.98909,-0.19949341,1.4063568,0.2646637
1515654161251,3.9658813,3.4952698,7.159912,0.16801453,0.2771759,0.8505707
1515654161354,-8.792816,-5.667343,6.9564056,0.732605,1.2359161,-1.6698456
1515654161456,2.3665466,7.4480896,5.0195007,1.6434174,-0.3928833,-0.7707672
1515654161559,-0.7913971,8.453659,0.4393921,1.3121185,-0.6804962,-0.7409363
1515654161661,-0.30776978,9.442474,1.4856567,0.7400665,-0.6059265,-0.40751648
1515654161764,-0.039611816,10.598862,1.0139923,0.45350647,-0.73695374,-0.95718384
1515654161867,0.9037018,11.831879,0.4609375,-0.11853027,0.4348297,0.29663086
1515654161972,-2.3332672,12.01384,2.3475647,-2.3076477,-2.15802,1.2319336
1515654162075,1.7751923,10.811951,2.6779633,-1.2008514,1.2454987,1.4204865
1515654162177,-0.81773376,7.345154,2.582199,-0.58406067,1.9528351,1.1371155
1515654162279,1.0090485,7.208679,3.5925598,0.45777893,1.9890594,0.2572174
1515654162382,0.889328,9.107285,6.9875336,-0.5616913,2.3427124,0.6790619
1515654162484,3.0704498,9.492752,5.989151,0.53660583,-0.23202515,1.3917236
1515654162591,-8.112869,17.491776,1.0139923,0.01461792,1.5938416,-1.5707855
1515654162694,-1.1768646,8.922928,1.7993011,1.1501923,1.1251221,-0.86557007
1515654162797,-0.45381165,9.013901,2.6564178,1.1533966,1.3818512,-0.073013306
1515654162900,0.65708923,10.37381,0.9589386,1.0308838,-0.15106201,-0.5470581
1515654163003,1.4471741,10.050598,1.5311432,0.28520203,-0.3502655,-0.7739563
1515654163108,-1.5192413,14.542114,-1.7632751,-0.83226013,1.3285828,0.87187195
1515654163211,-1.0260315,13.97229,1.8304291,-1.4437256,-0.5952759,1.9531097
1515654163314,-0.51846313,10.146362,0.4393921,-1.4906006,2.542984,0.86654663
1515654163415,1.4591522,7.5510406,3.6117096,0.06681824,2.383194,1.9499207
1515654163516,1.3681793,10.1822815,2.7689514,0.80184937,3.2929382,1.8838654
1515654163617,-3.439392,4.974884,8.481522,0.29159546,3.1065216,1.5067749
1515654163719,13.339188,11.556549,-0.4129486,0.603714,0.756546,3.4796448
1515654163821,-20.713547,16.337769,-4.6818085,-0.13238525,3.2620392,-1.0786285
